ID,Area,Priority,Package Weight (kg)
5086,6th of October,1,0.3
5087,Zamalek,1,2.2
5088,Heliopolis,4,2.6
5089,Shubra,1,9.5
5090,6th of October,3,7.0
5091,Mohandessin,3,3.9
5092,Agouza,4,4.3
5093,Agouza,1,6.4
5094,Maadi,4,6.8
5095,Nasr City,3,3.3
5096,Shubra,5,7.0
5097,Ain Shams,5,7.7
5098,Helwan,4,6.2
5099,Shubra,1,9.9
5100,Zamalek,4,9.6
5101,Zamalek,1,2.6
5102,Heliopolis,4,2.5
5103,Giza,2,3.9
5104,Madinaty,1,6.1
5105,5th Settlement,4,3.3
5106,Ain Shams,1,2.2
5107,Downtown,5,0.2
5108,Nasr City,5,8.6
5109,Sheikh Zayed,2,4.5
5110,Agouza,4,4.7
5111,5th Settlement,1,8.0
5112,Heliopolis,5,2.6
5113,Rehab,3,5.0
5114,Maadi,3,8.6
5115,Ain Shams,1,6.1
5116,Zamalek,2,6.9
5117,Garden City,1,4.9
5118,Dokki,4,3.9
5119,Dokki,2,0.5
5120,Agouza,4,3.5
5121,Rehab,1,2.4
5122,Downtown,2,1.1
5123,Manial,5,7.4
5124,Madinaty,3,0.3
5125,Ain Shams,1,8.0
5126,Helwan,5,7.1
5127,Madinaty,1,1.2
5128,5th Settlement,4,2.9
5129,Zamalek,3,0.8
5130,Helwan,4,8.8
5131,Garden City,2,4.1
5132,Dokki,1,1.3
5133,Mohandessin,4,5.7
5134,5th Settlement,3,6.6
5135,Madinaty,1,5.6
5136,Dokki,5,9.7
5137,5th Settlement,1,4.2
5138,Downtown,3,2.4
5139,Shubra,1,1.4
5140,Sheikh Zayed,1,3.8
5141,New Cairo,5,1.2
5142,6th of October,2,5.4
5143,Garden City,4,3.3
5144,Mohandessin,4,8.0
5145,Mohandessin,1,4.8
5146,5th Settlement,5,1.8
5147,Zamalek,2,8.6
5148,Sheikh Zayed,2,6.7
5149,Zamalek,4,8.6
5150,Zamalek,5,5.2
5151,Ain Shams,3,1.7
5152,New Cairo,4,9.4
5153,Ain Shams,1,0.7
5154,Shubra,1,8.7
5155,Helwan,4,2.0
5156,Garden City,2,4.6
5157,Sheikh Zayed,4,4.8
5158,Dokki,2,6.5
5159,6th of October,4,6.0
5160,Ain Shams,5,7.8
5161,Zamalek,5,0.4
5162,Downtown,1,0.9
5163,Shubra,3,3.8
5164,Giza,3,4.7
5165,Manial,3,8.4
5166,Madinaty,5,9.2
5167,Agouza,5,4.9
5168,Manial,5,9.2
5169,Agouza,2,6.6
5170,Zamalek,4,4.7
5171,5th Settlement,5,9.8
5172,Zamalek,3,6.2
5173,New Cairo,3,6.3
5174,Garden City,3,6.0
5175,Giza,2,9.3
5176,Helwan,3,5.7
5177,Giza,5,2.0
5178,New Cairo,3,6.8
5179,Mohandessin,5,6.0
5180,Downtown,3,8.9
5181,Helwan,5,2.0
5182,Mohandessin,4,5.6
5183,Dokki,1,5.9
5184,6th of October,2,7.3
5185,Giza,2,2.1
5186,Madinaty,3,8.9
5187,Madinaty,3,2.5
5188,Rehab,5,9.3
5189,New Cairo,5,3.5
5190,Heliopolis,4,0.8
5191,Shubra,1,8.1
5192,New Cairo,4,0.8
5193,5th Settlement,5,4.6
5194,Sheikh Zayed,5,8.2
5195,New Cairo,1,4.3
5196,Madinaty,5,9.8
5197,Ain Shams,4,1.2
5198,Downtown,2,3.2
5199,Maadi,1,1.3
5200,New Cairo,1,8.5
5201,New Cairo,2,5.5
5202,Ain Shams,2,7.9
5203,Agouza,1,0.5
5204,Giza,5,0.2
5205,6th of October,4,7.2
5206,Garden City,5,2.5
5207,New Cairo,5,6.1
5208,Garden City,2,3.6
5209,Agouza,3,0.3
5210,Dokki,4,7.6
5211,Manial,1,2.1
5212,Zamalek,5,9.5
5213,New Cairo,4,7.4
5214,Garden City,4,1.3
5215,Rehab,5,2.3
5216,Dokki,2,1.7
5217,Nasr City,2,2.9
5218,Ain Shams,5,6.7
5219,Shubra,4,8.6
5220,Heliopolis,1,2.2
5221,Rehab,4,4.1
5222,Shubra,5,1.6
5223,Nasr City,5,7.5
5224,Mohandessin,4,7.7
5225,Sheikh Zayed,3,4.4
5226,Madinaty,5,3.3
5227,Rehab,5,6.2
5228,Downtown,1,2.1
5229,Shubra,2,6.0
5230,Mohandessin,2,7.9
5231,Shubra,3,3.2
5232,6th of October,2,2.6
5233,Madinaty,1,3.9
5234,Agouza,2,6.9
5235,Zamalek,4,6.5
5236,Nasr City,4,7.2
5237,Helwan,4,5.8
5238,Ain Shams,4,0.3
5239,Zamalek,4,9.1
5240,Garden City,3,2.6
5241,New Cairo,4,3.7
5242,Garden City,5,1.7
5243,Manial,5,6.5
5244,Maadi,4,8.1
5245,Garden City,1,3.7
5246,Dokki,1,7.1
5247,5th Settlement,1,6.2
5248,Sheikh Zayed,3,2.6
5249,6th of October,2,4.6
5250,New Cairo,2,8.6
5251,6th of October,2,2.4
5252,Garden City,1,5.3
5253,Agouza,2,6.2
5254,Madinaty,4,3.0
5255,Garden City,1,9.0
5256,Mohandessin,5,8.1
5257,Zamalek,1,7.2
5258,Dokki,5,2.8
5259,Rehab,5,1.3
5260,Dokki,2,7.6
5261,Dokki,2,5.4
5262,Giza,2,7.9
5263,Sheikh Zayed,1,7.7
5264,Maadi,4,5.1
5265,Maadi,4,1.4
5266,Downtown,2,1.6
5267,Helwan,5,8.6
5268,Rehab,2,7.9
5269,Heliopolis,2,4.6
5270,Manial,1,1.7
5271,Shubra,2,0.8
5272,Rehab,5,0.1
5273,Shubra,5,8.0
5274,Shubra,5,5.5
5275,Sheikh Zayed,3,4.7
5276,Agouza,4,7.9
5277,Sheikh Zayed,4,7.5
5278,Madinaty,2,1.8
5279,Mohandessin,1,8.1
5280,Helwan,3,6.0
5281,Ain Shams,4,1.2
5282,Helwan,1,3.8
5283,Mohandessin,1,3.2
5284,Downtown,4,2.2
5285,Downtown,3,8.7
5286,Downtown,1,4.0
5287,Rehab,3,9.0
5288,Rehab,4,4.9
5289,Mohandessin,4,3.8
5290,Maadi,2,1.4
5291,Heliopolis,3,9.5
5292,Helwan,4,3.8
5293,Ain Shams,1,9.1
5294,Helwan,5,6.0
5295,Maadi,4,5.6
5296,Giza,2,0.8
5297,Sheikh Zayed,2,3.2
5298,Heliopolis,2,0.2
5299,5th Settlement,3,7.5
5300,Sheikh Zayed,2,0.7
5301,Helwan,1,6.3
5302,Giza,5,4.5
5303,Manial,3,4.7
5304,Maadi,5,2.9
5305,Rehab,4,5.9
5306,Sheikh Zayed,1,4.4
5307,5th Settlement,5,6.7
5308,Downtown,4,5.1
5309,Rehab,3,3.4
5310,Mohandessin,1,1.5
5311,New Cairo,4,6.2
5312,Maadi,3,2.3
5313,Downtown,2,0.2
5314,Mohandessin,4,4.2
5315,Downtown,4,8.0
5316,New Cairo,2,5.5
5317,Zamalek,2,0.1
5318,New Cairo,4,8.6
5319,Garden City,4,7.9
5320,Dokki,4,9.2
5321,Rehab,3,1.2
5322,Helwan,4,6.2
5323,New Cairo,5,9.6
5324,Giza,3,5.6
5325,Agouza,5,5.3
5326,Manial,2,6.9
5327,Nasr City,4,2.3
5328,Giza,5,4.9
5329,Shubra,1,3.1
5330,6th of October,3,9.5
5331,Downtown,5,1.2
5332,Garden City,2,2.3
5333,Downtown,1,4.7
5334,Sheikh Zayed,3,7.0
5335,Shubra,4,4.2
5336,6th of October,1,5.7
5337,Manial,4,2.5
5338,Zamalek,3,9.5
5339,Maadi,4,9.3
5340,Ain Shams,2,4.1
5341,Nasr City,3,4.2
5342,Heliopolis,3,9.4
5343,Madinaty,4,2.4
5344,Shubra,4,5.9
5345,6th of October,2,8.5
5346,Dokki,3,6.1
5347,Giza,5,1.7
5348,Zamalek,1,3.8
5349,Nasr City,2,0.9
5350,Madinaty,1,5.4
5351,Downtown,1,9.4
5352,Dokki,1,0.1
5353,Helwan,3,1.4
5354,Zamalek,1,6.7
5355,6th of October,3,1.7
5356,Agouza,1,1.1
5357,Manial,1,9.9
5358,Mohandessin,2,8.2
5359,Madinaty,1,9.0
5360,6th of October,5,2.7
5361,Zamalek,5,8.4
5362,Zamalek,4,2.9
5363,New Cairo,2,6.1
5364,Sheikh Zayed,1,6.5
5365,Garden City,3,5.0
5366,Giza,2,0.4
5367,Rehab,3,7.0
5368,6th of October,3,9.5
5369,Shubra,4,6.6
5370,Garden City,3,8.1
5371,Mohandessin,2,6.7
5372,Downtown,1,4.7
5373,Agouza,1,0.9
5374,Rehab,2,1.6
5375,Zamalek,3,1.6
5376,Giza,5,7.7
5377,Madinaty,4,2.5
5378,5th Settlement,5,4.2
5379,Mohandessin,4,3.1
5380,Helwan,2,6.6
5381,Helwan,1,4.0
5382,New Cairo,4,0.6
5383,Madinaty,4,1.9
5384,Shubra,3,6.6
5385,Giza,4,4.6
5386,Agouza,2,6.6
5387,Dokki,3,0.2
5388,Madinaty,3,4.2
5389,Downtown,2,1.6
5390,Madinaty,3,5.2
5391,Dokki,4,9.1
5392,Nasr City,3,0.5
5393,Manial,3,7.1
5394,Heliopolis,4,3.4
5395,Sheikh Zayed,2,7.7
5396,Giza,5,2.2
5397,Shubra,5,2.8
5398,Manial,5,9.9
5399,Maadi,4,2.0
5400,Agouza,5,9.6
5401,Rehab,1,3.0
5402,Nasr City,4,2.9
5403,Zamalek,4,5.9
5404,Ain Shams,4,8.3
5405,Manial,5,9.1
5406,Giza,5,2.4
5407,New Cairo,3,2.3
5408,Maadi,2,8.9
5409,Agouza,3,6.7
5410,Nasr City,5,4.0
5411,Garden City,4,2.4
5412,Nasr City,4,2.5
5413,Zamalek,3,0.6
5414,5th Settlement,4,5.4
5415,6th of October,5,0.3
5416,Madinaty,5,6.7
5417,5th Settlement,3,2.2
5418,Garden City,4,7.8
5419,Giza,2,5.7
5420,Mohandessin,1,5.5
5421,Zamalek,3,6.9
5422,Madinaty,1,6.5
5423,New Cairo,2,1.1
5424,New Cairo,4,6.6
5425,Ain Shams,2,1.7
5426,Helwan,1,7.3
5427,6th of October,3,7.7
5428,5th Settlement,1,10.0
5429,Downtown,1,0.9
5430,Nasr City,2,8.5
5431,New Cairo,2,0.8
5432,Rehab,3,1.2
5433,5th Settlement,4,1.3
5434,Madinaty,5,5.2
5435,Zamalek,3,2.9
5436,Helwan,2,7.9
5437,Mohandessin,5,3.9
5438,Nasr City,5,9.5
5439,Zamalek,1,8.1
5440,Giza,2,1.7
5441,5th Settlement,2,5.3
5442,Helwan,1,4.8
5443,Shubra,4,3.5
5444,Sheikh Zayed,4,1.1
5445,Mohandessin,5,2.2
5446,Agouza,1,6.4
5447,Garden City,4,9.8
5448,Rehab,4,5.6
5449,Helwan,2,3.3
5450,Maadi,4,9.0
5451,Agouza,3,2.0
5452,Helwan,3,0.3
5453,Nasr City,3,4.2
5454,Zamalek,2,8.6
5455,Manial,5,8.4
5456,Heliopolis,5,5.7
5457,Madinaty,5,1.4
5458,Giza,1,10.0
5459,Maadi,3,6.3
5460,5th Settlement,4,2.5
5461,Heliopolis,1,3.0
5462,Downtown,3,9.4
5463,Downtown,3,8.2
5464,Ain Shams,1,3.5
5465,Helwan,1,9.8
5466,6th of October,4,5.0
5467,6th of October,3,0.3
5468,Zamalek,2,1.9
5469,Manial,5,9.3
5470,Helwan,1,8.5
5471,New Cairo,3,1.0
5472,Heliopolis,2,3.3
5473,Agouza,1,5.8
5474,New Cairo,3,2.4
5475,5th Settlement,5,8.4
5476,Zamalek,5,9.1
5477,5th Settlement,3,9.4
5478,6th of October,1,9.1
5479,Maadi,3,9.0
5480,Ain Shams,1,9.2
5481,New Cairo,1,6.6
5482,Heliopolis,5,1.5
5483,Madinaty,1,0.1
5484,Helwan,4,4.7
5485,New Cairo,2,5.5
5486,5th Settlement,2,5.9
5487,Dokki,2,0.9
5488,Agouza,1,6.5
5489,Nasr City,4,6.3
5490,Downtown,2,2.3
5491,Sheikh Zayed,2,7.4
5492,Nasr City,5,9.9
5493,Agouza,2,8.8
5494,Garden City,1,5.0
5495,Manial,4,4.4
5496,Sheikh Zayed,3,2.0
5497,Shubra,5,3.5
5498,Agouza,3,4.2
5499,Manial,1,2.8
5500,New Cairo,5,7.1
5501,Heliopolis,4,5.0
5502,New Cairo,2,5.9
5503,Agouza,1,5.8
5504,Garden City,2,9.7
5505,Garden City,2,7.1
5506,Zamalek,4,7.5
5507,Mohandessin,3,1.4
5508,Agouza,1,9.6
5509,Heliopolis,1,6.6
5510,Giza,2,4.2
5511,Downtown,1,4.5
5512,Giza,4,8.7
5513,Sheikh Zayed,3,3.8
5514,Mohandessin,2,4.5
5515,Helwan,2,2.1
5516,Garden City,4,8.7
5517,New Cairo,4,4.9
5518,Nasr City,4,0.6
5519,Maadi,1,4.7
5520,Sheikh Zayed,3,7.5
5521,Heliopolis,3,2.1
5522,New Cairo,2,1.5
5523,Nasr City,4,4.3
5524,Sheikh Zayed,1,7.9
5525,Helwan,3,5.9
5526,Rehab,2,6.5
5527,New Cairo,4,6.9
5528,New Cairo,2,9.6
5529,Rehab,2,4.9
5530,Garden City,4,0.3
5531,5th Settlement,5,3.9
5532,Downtown,1,6.5
5533,Helwan,5,2.7
5534,Heliopolis,3,2.6
5535,Sheikh Zayed,3,8.6
5536,Nasr City,1,7.5
5537,Heliopolis,2,5.7
5538,New Cairo,2,9.0
5539,5th Settlement,5,7.6
5540,Sheikh Zayed,2,5.8
5541,Sheikh Zayed,1,6.3
5542,Nasr City,3,1.6
5543,5th Settlement,4,7.7
5544,Nasr City,4,5.7
5545,Heliopolis,3,2.0
5546,Ain Shams,3,7.2
5547,New Cairo,5,7.0
5548,Shubra,5,2.1
5549,Helwan,1,5.7
5550,Manial,2,3.9
5551,Giza,1,8.9
5552,Helwan,4,8.6
5553,5th Settlement,3,7.6
5554,Ain Shams,5,5.0
5555,Zamalek,1,0.3
5556,Downtown,2,5.7
5557,Maadi,2,4.2
5558,5th Settlement,1,4.7
5559,5th Settlement,4,1.1
5560,Garden City,2,7.2
5561,Heliopolis,1,2.3
5562,Agouza,4,2.6
5563,New Cairo,5,1.3
5564,Mohandessin,1,8.9
5565,Garden City,5,3.5
5566,New Cairo,5,1.3
5567,Garden City,1,5.4
5568,New Cairo,5,4.8
5569,Nasr City,4,1.8
5570,Mohandessin,4,8.2
5571,Heliopolis,1,8.9
5572,Garden City,5,5.1
5573,Ain Shams,3,2.8
5574,Rehab,5,9.4
5575,Nasr City,1,7.0
5576,Agouza,1,9.8
5577,Mohandessin,2,6.7
5578,Garden City,1,8.2
5579,Mohandessin,2,7.4
5580,6th of October,4,2.1
5581,Rehab,2,0.7
5582,Maadi,1,6.2
5583,Mohandessin,3,7.3
5584,6th of October,4,6.3
5585,Zamalek,2,1.6
5586,Nasr City,2,4.8
5587,5th Settlement,2,3.8
5588,Ain Shams,1,6.9
5589,Dokki,2,0.9
5590,Ain Shams,1,0.8
5591,Dokki,3,4.4
5592,5th Settlement,5,7.2
5593,Agouza,5,9.5
5594,Rehab,2,9.8
5595,Manial,5,8.3
5596,Mohandessin,4,6.6
5597,Manial,4,4.3
5598,New Cairo,5,2.9
5599,Nasr City,2,2.2
5600,Shubra,5,4.1
5601,Zamalek,5,4.7
5602,Downtown,1,1.2
5603,5th Settlement,1,2.4
5604,Shubra,5,5.6
5605,Downtown,1,7.2
5606,5th Settlement,2,5.2
5607,Garden City,1,8.0
5608,Manial,5,5.1
5609,Garden City,5,8.9
5610,Giza,5,5.6
5611,New Cairo,3,5.4
5612,Downtown,2,3.4
5613,Madinaty,2,0.5
5614,Garden City,1,1.5
5615,Manial,4,5.2
5616,5th Settlement,1,0.8
5617,Giza,4,7.4
5618,New Cairo,3,1.7
5619,Nasr City,1,0.4
5620,Nasr City,1,7.8
5621,Dokki,5,0.9
5622,Mohandessin,4,0.9
5623,Heliopolis,4,9.5
5624,5th Settlement,3,7.9
5625,Manial,1,0.7
5626,Helwan,3,7.2
5627,Heliopolis,5,3.9
5628,6th of October,3,6.5
5629,5th Settlement,2,1.7
5630,Agouza,5,6.0
5631,Madinaty,5,4.8
5632,Zamalek,2,9.1
5633,6th of October,5,1.8
5634,Maadi,3,6.3
5635,Maadi,5,3.9
5636,Nasr City,1,4.4
5637,Nasr City,3,6.0
5638,Shubra,3,8.9
5639,Zamalek,3,6.4
5640,New Cairo,5,7.3
5641,Shubra,5,1.6
5642,Ain Shams,2,1.3
5643,Sheikh Zayed,2,8.0
5644,Helwan,1,9.9
5645,Dokki,5,3.7
5646,Maadi,5,3.8
5647,Madinaty,1,7.2
5648,Garden City,4,4.1
5649,Manial,5,6.1
5650,Helwan,1,4.7
5651,Sheikh Zayed,2,7.7
5652,Maadi,3,1.3
5653,Heliopolis,4,8.0
5654,Sheikh Zayed,1,2.6
5655,Sheikh Zayed,1,8.9
5656,New Cairo,2,2.7
5657,Madinaty,4,5.5
5658,Garden City,5,8.8
5659,Mohandessin,5,2.0
5660,Shubra,3,6.5
5661,Zamalek,2,2.5
5662,Manial,3,7.0
5663,Sheikh Zayed,5,7.3
5664,6th of October,4,6.5
5665,Nasr City,2,3.0
5666,Downtown,3,8.8
5667,Sheikh Zayed,4,7.3
5668,6th of October,3,2.2
5669,Maadi,4,0.9
5670,Shubra,2,3.0
5671,Helwan,3,3.6
5672,Maadi,2,8.7
5673,Garden City,3,4.1
5674,Dokki,3,3.5
5675,Nasr City,1,2.0
5676,6th of October,4,4.8
5677,6th of October,5,7.9
5678,Sheikh Zayed,5,5.8
5679,Nasr City,2,9.2
5680,Helwan,2,7.3
5681,Sheikh Zayed,5,5.6
5682,New Cairo,3,1.9
5683,Downtown,4,7.3
5684,Maadi,3,6.1
5685,Maadi,3,0.5
5686,Mohandessin,2,2.5
5687,Helwan,2,9.7
5688,New Cairo,5,8.3
5689,Heliopolis,4,3.2
5690,Downtown,1,7.3
5691,Manial,4,1.0
5692,Heliopolis,5,5.3
5693,Mohandessin,2,0.6
5694,Mohandessin,4,6.0
5695,Shubra,3,2.2
5696,Maadi,4,10.0
5697,Zamalek,1,8.6
5698,Manial,5,9.2
5699,Giza,4,5.0
5700,Sheikh Zayed,4,1.0
5701,Sheikh Zayed,1,7.8
5702,Dokki,2,0.2
5703,Nasr City,5,8.2
5704,Ain Shams,1,1.2
5705,Manial,5,5.5
5706,Garden City,4,9.3
5707,Madinaty,3,3.4
5708,Manial,1,7.3
5709,Ain Shams,1,9.6
5710,Mohandessin,4,8.8
5711,Helwan,2,3.7
5712,Zamalek,3,8.9
5713,Heliopolis,5,6.1
5714,Agouza,3,6.4
5715,6th of October,2,1.2
5716,Sheikh Zayed,4,2.4
5717,Nasr City,5,3.5
5718,Ain Shams,2,1.5
5719,Dokki,2,1.8
5720,Sheikh Zayed,2,6.1
5721,Rehab,3,0.8
5722,Ain Shams,1,3.4
5723,Maadi,3,1.0
5724,5th Settlement,4,1.4
5725,Maadi,3,9.4
5726,Giza,2,6.3
5727,Shubra,4,5.0
5728,Maadi,5,4.4
5729,Heliopolis,2,7.0
5730,Nasr City,1,4.3
5731,Maadi,5,9.4
5732,Helwan,4,8.9
5733,Manial,1,4.0
5734,Nasr City,4,8.2
5735,Rehab,1,1.6
5736,Mohandessin,1,3.3
5737,Mohandessin,3,9.5
5738,Helwan,1,9.0
5739,Sheikh Zayed,5,8.2
5740,Agouza,1,1.9
5741,Madinaty,4,4.9
5742,Downtown,5,7.7
5743,Sheikh Zayed,3,2.2
5744,Maadi,1,3.0
5745,5th Settlement,1,2.5
5746,Rehab,2,8.0
5747,Garden City,4,3.5
5748,5th Settlement,5,8.6
5749,Maadi,2,1.5
5750,Helwan,5,2.4
5751,Maadi,1,7.3
5752,Rehab,1,6.7
5753,Maadi,5,6.1
5754,Agouza,5,3.7
5755,6th of October,3,7.1
5756,Nasr City,4,5.8
5757,Agouza,2,9.9
5758,Manial,5,4.1
5759,Ain Shams,5,6.3
5760,Shubra,3,5.8
5761,Manial,5,8.3
5762,Rehab,1,7.5
5763,6th of October,2,8.9
5764,Helwan,5,5.4
5765,Agouza,2,3.9
5766,Agouza,1,1.6
5767,Sheikh Zayed,3,3.0
5768,Mohandessin,2,5.7
5769,Heliopolis,2,8.9
5770,Garden City,3,8.4
5771,Ain Shams,4,7.8
5772,Maadi,4,5.7
5773,Nasr City,5,6.3
5774,Shubra,1,4.8
5775,Ain Shams,1,4.6
5776,Dokki,2,6.5
5777,Garden City,5,3.2
5778,Giza,5,6.1
5779,Garden City,5,9.1
5780,5th Settlement,1,1.5
5781,6th of October,1,8.4
5782,Ain Shams,1,9.0
5783,Agouza,5,9.8
5784,Nasr City,5,4.4
5785,Downtown,4,8.1
5786,Helwan,5,5.9
5787,Ain Shams,3,6.8
5788,5th Settlement,4,1.0
5789,Helwan,4,5.8
5790,Mohandessin,1,6.3
5791,Ain Shams,1,5.7
5792,Downtown,2,6.8
5793,Giza,5,8.1
5794,Heliopolis,3,3.4
5795,New Cairo,4,8.4
5796,Garden City,5,5.5
5797,6th of October,5,8.0
5798,Maadi,1,2.8
5799,Dokki,4,8.3
5800,Nasr City,1,7.5
5801,Sheikh Zayed,4,6.7
5802,Shubra,1,6.0
5803,Heliopolis,4,10.0
5804,Zamalek,1,5.1
5805,Manial,3,6.7
5806,Nasr City,1,8.3
5807,Shubra,5,9.5
5808,New Cairo,1,0.7
5809,Manial,1,3.0
5810,Giza,1,8.6
5811,Dokki,5,4.6
5812,Agouza,4,2.0
5813,Downtown,1,6.5
5814,Garden City,3,7.3
5815,Madinaty,4,2.8
5816,6th of October,4,4.5
5817,Rehab,2,1.7
5818,Ain Shams,2,7.3
5819,Helwan,1,6.0
5820,Zamalek,4,5.6
5821,Madinaty,4,7.3
5822,Dokki,5,9.2
5823,Manial,1,7.0
5824,New Cairo,1,7.7
5825,Sheikh Zayed,5,4.0
5826,Mohandessin,2,2.7
5827,Garden City,1,2.1
5828,Giza,3,9.4
5829,Dokki,2,7.2
5830,Shubra,1,3.5
5831,Zamalek,4,4.7
5832,Dokki,1,0.2
5833,Dokki,1,0.9
5834,Garden City,4,3.9
5835,Sheikh Zayed,3,2.5
5836,Madinaty,5,1.4
5837,Helwan,4,5.8
5838,Mohandessin,4,1.3
5839,5th Settlement,3,0.8
5840,Agouza,1,3.1
5841,Dokki,5,7.3
5842,Downtown,4,3.3
5843,Maadi,1,3.0
5844,6th of October,1,4.4
5845,Mohandessin,3,2.4
5846,Shubra,4,8.3
5847,Downtown,4,5.4
5848,Madinaty,5,7.4
5849,Dokki,1,1.8
5850,Dokki,1,0.2
5851,Agouza,5,8.8
5852,Heliopolis,2,8.3
5853,Ain Shams,2,2.7
5854,Giza,4,5.8
5855,Manial,4,7.9
5856,Ain Shams,2,2.4
5857,5th Settlement,2,8.8
5858,Sheikh Zayed,2,8.8
5859,Giza,4,5.5
5860,Garden City,5,0.4
5861,Nasr City,4,7.5
5862,Agouza,5,7.9
5863,Ain Shams,4,7.2
5864,Heliopolis,4,6.8
5865,Maadi,4,4.8
5866,Madinaty,2,8.6
5867,Sheikh Zayed,2,9.0
5868,Nasr City,3,8.6
5869,Shubra,5,7.7
5870,Dokki,2,1.5
5871,Helwan,3,2.3
5872,Zamalek,4,6.8
5873,Helwan,1,6.8
5874,5th Settlement,4,7.8
5875,New Cairo,4,9.4
5876,Zamalek,5,5.7
5877,Dokki,1,6.5
5878,Downtown,3,9.8
5879,Rehab,5,5.7
5880,5th Settlement,5,9.6
5881,New Cairo,2,5.4
5882,Manial,5,4.4
5883,5th Settlement,1,3.0
5884,Downtown,1,9.5
5885,Maadi,5,8.5
5886,Garden City,5,6.9
5887,Manial,3,4.4
5888,6th of October,2,5.1
5889,Manial,3,3.1
5890,Manial,5,8.5
5891,Zamalek,1,5.6
5892,Rehab,5,2.9
5893,Maadi,4,5.1
5894,Dokki,2,1.0
5895,Shubra,4,9.0
5896,Mohandessin,5,4.0
5897,Dokki,1,7.7
5898,Rehab,3,9.3
5899,Zamalek,5,3.9
5900,Rehab,4,0.7
5901,Madinaty,4,6.1
5902,Manial,5,5.5
5903,Sheikh Zayed,4,9.2
5904,Downtown,2,7.2
5905,Agouza,2,3.3
5906,Maadi,5,5.0
5907,Sheikh Zayed,1,3.3
5908,Dokki,2,4.0
5909,New Cairo,1,3.7
5910,Helwan,4,6.7
5911,Manial,3,3.9
5912,Agouza,1,6.9
5913,Heliopolis,2,0.4
5914,5th Settlement,2,2.9
5915,Giza,3,7.8
5916,Dokki,5,2.8
5917,Agouza,4,4.0
5918,Helwan,5,2.0
5919,Garden City,2,3.0
5920,Agouza,3,6.9
5921,Garden City,2,7.9
5922,Agouza,1,5.5
5923,Dokki,3,3.5
5924,Giza,2,0.9
5925,Giza,4,5.4
5926,Giza,4,1.9
5927,Agouza,2,1.8
5928,Agouza,2,4.1
5929,Garden City,3,8.7
5930,Helwan,1,5.3
5931,Sheikh Zayed,1,2.3
5932,Shubra,3,5.6
5933,Madinaty,5,3.7
5934,Shubra,5,2.7
5935,Manial,3,3.3
5936,6th of October,3,7.6
5937,Mohandessin,3,2.3
5938,Heliopolis,5,6.3
5939,Zamalek,1,8.3
5940,Manial,4,9.1
5941,Mohandessin,5,1.7
5942,Giza,5,8.3
5943,Maadi,1,2.4
5944,Mohandessin,4,8.4
5945,Giza,3,3.1
5946,Giza,3,4.6
5947,Mohandessin,2,2.1
5948,Mohandessin,4,3.7
5949,Sheikh Zayed,1,4.8
5950,Ain Shams,4,2.5
5951,Maadi,1,8.5
5952,New Cairo,2,9.6
5953,Heliopolis,3,7.0
5954,Zamalek,1,9.5
5955,Dokki,4,7.8
5956,Sheikh Zayed,1,3.9
5957,Sheikh Zayed,4,7.0
5958,Manial,2,5.7
5959,Nasr City,3,7.6
5960,Garden City,5,3.7
5961,Helwan,4,5.3
5962,Downtown,3,1.7
5963,Ain Shams,4,5.6
5964,Giza,5,0.7
5965,Rehab,5,5.1
5966,6th of October,2,4.5
5967,Giza,5,1.5
5968,New Cairo,5,3.4
5969,Agouza,4,6.4
5970,Giza,5,9.6
5971,Sheikh Zayed,2,3.0
5972,Manial,1,3.1
5973,Ain Shams,3,9.7
5974,Nasr City,1,0.4
5975,6th of October,3,0.5
5976,Agouza,2,6.4
5977,Garden City,2,0.8
5978,Heliopolis,3,6.5
5979,Zamalek,2,8.7
5980,Giza,4,0.2
5981,Mohandessin,4,0.4
5982,Dokki,1,5.6
5983,6th of October,5,2.9
5984,Shubra,4,5.3
5985,Madinaty,2,5.9
5986,Garden City,4,5.0
5987,Rehab,3,4.5
5988,Downtown,1,6.5
5989,Sheikh Zayed,2,1.4
5990,6th of October,2,9.2
5991,Zamalek,5,9.5
5992,Dokki,5,2.3
5993,Heliopolis,2,8.1
5994,Zamalek,2,2.0
5995,Downtown,1,2.1
5996,Manial,1,6.3
5997,Nasr City,1,0.7
5998,Ain Shams,3,5.2
5999,Mohandessin,5,4.9
6000,Nasr City,5,4.7
6001,Madinaty,4,1.7
6002,Zamalek,4,5.2
6003,Dokki,3,1.9
6004,Giza,3,4.9
6005,Helwan,5,7.5
6006,Madinaty,2,6.3
6007,Agouza,1,3.9
6008,Manial,1,3.3
6009,Rehab,4,5.2
6010,5th Settlement,2,9.0
6011,Shubra,1,7.3
6012,Dokki,4,5.5
6013,Madinaty,2,9.6
6014,Mohandessin,2,0.7
6015,Mohandessin,5,4.5
6016,Dokki,1,6.6
6017,Dokki,2,3.3
6018,Agouza,5,5.8
6019,Ain Shams,2,2.2
6020,Ain Shams,3,9.6
6021,Agouza,1,6.6
6022,Garden City,5,6.4
6023,Garden City,2,5.6
6024,Helwan,2,3.3
6025,5th Settlement,2,7.9
6026,6th of October,3,3.3
6027,Madinaty,4,4.2
6028,Madinaty,2,7.4
6029,Shubra,3,1.7
6030,Nasr City,5,2.5
6031,New Cairo,5,3.4
